filename,width,height,class,xmin,ymin,xmax,ymax
2833430.jpg,128,128,cargo,5,39,122,96
2837656.jpg,128,128,cargo,6,15,122,92
2876178.jpg,128,128,cargo,8,14,113,96
2878155.jpg,128,128,cargo,10,15,119,114
2798484.jpg,128,128,cargo,4,51,126,93
2794282.jpg,128,128,cargo,11,30,95,108
2841717.jpg,128,128,cargo,2,41,120,110
2843666.jpg,128,128,cargo,2,28,110,102
2902606.jpg,128,128,cargo,3,42,122,104
2780220.jpg,128,128,cargo,7,27,125,106
2786137.jpg,128,128,cargo,6,33,125,104
2890370.jpg,128,128,cargo,36,54,105,87
2855992.jpg,128,128,cargo,7,30,119,95
2902612.jpg,128,128,cargo,7,5,121,99
2874169.jpg,128,128,cargo,4,28,128,87
2816934.jpg,128,128,cargo,7,44,122,93
2831347.jpg,128,128,cargo,6,16,118,105
2816920.jpg,128,128,cargo,1,32,128,84
2831421.jpg,128,128,cargo,4,44,123,112
2814879.jpg,128,128,cargo,2,31,125,85
2818925.jpg,128,128,cargo,11,81,114,112
2841688.jpg,128,128,cargo,2,19,128,107
2888488.jpg,128,128,cargo,9,53,122,102
2860134.jpg,128,128,cargo,9,50,120,88
2843706.jpg,128,128,cargo,3,70,106,97
2888477.jpg,128,128,cargo,4,57,124,91
2831384.jpg,128,128,cargo,2,24,122,105
2794309.jpg,128,128,cargo,7,52,119,98
2886328.jpg,128,128,cargo,9,23,111,80
2862086.jpg,128,128,cargo,12,60,117,109
2788293.jpg,128,128,cargo,41,28,97,84
2835451.jpg,128,128,cargo,5,31,128,83
2810821.jpg,128,128,cargo,9,24,117,105
2810835.jpg,128,128,cargo,12,31,114,99
2835445.jpg,128,128,cargo,4,23,128,108
2851869.jpg,128,128,cargo,9,45,123,79
2898499.jpg,128,128,cargo,5,9,124,124
2790386.jpg,128,128,cargo,5,65,122,112
2864150.jpg,128,128,cargo,9,36,116,85
2835479.jpg,128,128,cargo,9,20,122,123
2788244.jpg,128,128,cargo,2,48,113,120
2882370.jpg,128,128,cargo,1,34,128,102
2790351.jpg,128,128,cargo,20,48,106,90
2804667.jpg,128,128,cargo,3,36,127,75
2872097.jpg,128,128,cargo,7,20,115,117
2804666.jpg,128,128,cargo,1,39,128,72
2790350.jpg,128,128,cargo,5,38,124,86
2882371.jpg,128,128,cargo,2,47,126,89
2872096.jpg,128,128,cargo,8,23,116,117
2806703.jpg,128,128,cargo,8,39,122,89
2882365.jpg,128,128,cargo,7,31,118,88
2835487.jpg,128,128,cargo,3,24,123,116
2835493.jpg,128,128,cargo,12,6,122,125
2800428.jpg,128,128,cargo,30,8,121,94
2810808.jpg,128,128,cargo,7,51,126,95
2825119.jpg,128,128,cargo,3,40,114,111
2864145.jpg,128,128,cargo,5,44,122,107
2870130.jpg,128,128,cargo,1,41,123,93
2835444.jpg,128,128,cargo,4,19,125,110
2823226.jpg,128,128,cargo,3,44,123,92
2849799.jpg,128,128,cargo,7,15,118,103
2878222.jpg,128,128,cargo,1,78,123,120
2868031.jpg,128,128,cargo,3,31,119,84
2788286.jpg,128,128,cargo,2,41,122,105
2837521.jpg,128,128,cargo,7,50,120,104
2810820.jpg,128,128,cargo,8,41,123,108
2794334.jpg,128,128,cargo,5,41,122,112
2829284.jpg,128,128,cargo,2,42,111,99
2782224.jpg,128,128,cargo,6,26,121,115
2831385.jpg,128,128,cargo,4,14,121,116
2818930.jpg,128,128,cargo,8,17,119,100
2860135.jpg,128,128,cargo,30,22,98,106
2831408.jpg,128,128,cargo,7,21,120,108
2814878.jpg,128,128,cargo,9,10,116,121
2888489.jpg,128,128,cargo,6,46,120,114
2831346.jpg,128,128,cargo,1,40,119,127
2827242.jpg,128,128,cargo,13,75,119,118
2827256.jpg,128,128,cargo,22,28,115,100
2821141.jpg,128,128,cargo,8,29,121,112
2818918.jpg,128,128,cargo,7,43,116,69
2802607.jpg,128,128,cargo,1,49,128,93
2876186.jpg,128,128,cargo,4,69,121,110
2902613.jpg,128,128,cargo,10,17,123,95
2890417.jpg,128,128,cargo,5,33,125,86
2802613.jpg,128,128,cargo,10,77,125,116
2786136.jpg,128,128,cargo,3,8,121,93
2841716.jpg,128,128,cargo,15,54,112,93
2890359.jpg,128,128,cargo,4,28,123,96
2862130.jpg,128,128,cargo,2,61,79,78
2839646.jpg,128,128,cargo,1,43,123,120
2821035.jpg,128,128,cargo,12,24,121,81
2853892.jpg,128,128,cargo,11,37,122,85
2810767.jpg,128,128,cargo,25,35,104,98
2784251.jpg,128,128,cargo,6,51,119,92
2792433.jpg,128,128,cargo,6,37,117,73
2900574.jpg,128,128,cargo,5,32,123,102
2784245.jpg,128,128,cargo,5,18,108,111
2792427.jpg,128,128,cargo,2,43,126,87
2788331.jpg,128,128,cargo,7,17,123,114
2858051.jpg,128,128,cargo,9,33,122,70
2788325.jpg,128,128,cargo,7,53,121,92
2784292.jpg,128,128,cargo,4,38,125,97
2782191.jpg,128,128,cargo,7,27,113,72
2792382.jpg,128,128,cargo,12,38,117,99
2864031.jpg,128,128,cargo,17,35,120,86
2849835.jpg,128,128,cargo,7,35,122,80
2810798.jpg,128,128,cargo,1,44,123,79
2827134.jpg,128,128,cargo,9,43,118,86
2847818.jpg,128,128,cargo,16,51,120,79
2812831.jpg,128,128,cargo,6,17,120,94
2870078.jpg,128,128,cargo,6,17,119,81
2872131.jpg,128,128,cargo,39,23,112,102
2808689.jpg,128,128,cargo,3,22,115,63
2866150.jpg,128,128,cargo,7,42,117,80
2864021.jpg,128,128,cargo,12,40,120,80
2835508.jpg,128,128,cargo,4,53,116,108
2847820.jpg,128,128,cargo,15,40,108,81
2784296.jpg,128,128,cargo,31,36,99,105
2870054.jpg,128,128,cargo,7,19,120,87
2847808.jpg,128,128,cargo,1,24,126,88
2868141.jpg,128,128,cargo,9,40,118,109
2806698.jpg,128,128,cargo,14,44,117,83
2870083.jpg,128,128,cargo,6,33,122,82
2800564.jpg,128,128,cargo,7,61,116,101
2856044.jpg,128,128,cargo,4,41,127,124
2788309.jpg,128,128,cargo,4,18,98,124
2806667.jpg,128,128,cargo,8,36,119,88
2870097.jpg,128,128,cargo,5,43,117,87
2819021.jpg,128,128,cargo,3,24,111,78
2825096.jpg,128,128,cargo,15,47,117,87
2898517.jpg,128,128,cargo,12,18,117,115
2808662.jpg,128,128,cargo,4,9,122,124
2837492.jpg,128,128,cargo,6,48,108,85
2833409.jpg,128,128,cargo,9,5,116,120
2855968.jpg,128,128,cargo,4,23,124,87
2825257.jpg,128,128,cargo,6,40,114,84
2833435.jpg,128,128,cargo,6,18,120,119
2823140.jpg,128,128,cargo,1,29,125,78
2823154.jpg,128,128,cargo,8,44,122,81
2816851.jpg,128,128,cargo,9,45,118,76
2890375.jpg,128,128,cargo,9,29,123,112
2855997.jpg,128,128,cargo,7,7,97,104
2818897.jpg,128,128,cargo,14,60,112,98
2876196.jpg,128,128,cargo,2,23,123,103
2890413.jpg,128,128,cargo,15,56,110,89
2796447.jpg,128,128,cargo,12,75,104,106
2890407.jpg,128,128,cargo,4,21,124,113
2876182.jpg,128,128,cargo,6,26,114,82
2816886.jpg,128,128,cargo,9,42,115,83
2843677.jpg,128,128,cargo,2,35,128,98
2825280.jpg,128,128,cargo,11,11,119,112
2878193.jpg,128,128,cargo,10,10,119,101
2884328.jpg,128,128,cargo,8,46,121,102
2862040.jpg,128,128,cargo,45,50,102,85
2818934.jpg,128,128,cargo,23,36,113,93
2816919.jpg,128,128,cargo,7,43,114,89
2827252.jpg,128,128,cargo,22,32,117,76
2831430.jpg,128,128,cargo,21,21,126,97
2892416.jpg,128,128,cargo,7,32,124,119
2874193.jpg,128,128,cargo,21,33,109,86
2874187.jpg,128,128,cargo,2,33,128,94
2892402.jpg,128,128,cargo,17,22,120,108
2843717.jpg,128,128,cargo,3,25,128,93
2831381.jpg,128,128,cargo,3,10,123,120
2810818.jpg,128,128,cargo,16,18,113,126
2864141.jpg,128,128,cargo,15,9,117,122
2835468.jpg,128,128,cargo,3,30,127,87
2845831.jpg,128,128,cargo,8,55,116,108
2866030.jpg,128,128,cargo,8,51,116,76
2835454.jpg,128,128,cargo,6,59,117,107
2810824.jpg,128,128,cargo,1,34,114,100
2812799.jpg,128,128,cargo,2,12,126,109
2878226.jpg,128,128,cargo,3,9,124,101
2835440.jpg,128,128,cargo,11,50,120,95
2896472.jpg,128,128,cargo,5,40,122,87
2872086.jpg,128,128,cargo,16,25,120,120
2880210.jpg,128,128,cargo,10,38,115,101
2812766.jpg,128,128,cargo,6,43,124,79
2904676.jpg,128,128,cargo,6,18,121,89
2894517.jpg,128,128,cargo,16,15,113,106
2804662.jpg,128,128,cargo,10,44,120,69
2835497.jpg,128,128,cargo,1,32,124,107
2858121.jpg,128,128,cargo,6,45,124,82
2788241.jpg,128,128,cargo,17,47,118,107
2880238.jpg,128,128,cargo,10,27,117,89
2835483.jpg,128,128,cargo,1,21,128,85
2800438.jpg,128,128,cargo,6,50,123,88
2800439.jpg,128,128,cargo,8,55,128,87
2804677.jpg,128,128,cargo,7,18,123,88
2780152.jpg,128,128,cargo,8,13,122,103
2872087.jpg,128,128,cargo,2,21,111,109
2868034.jpg,128,128,cargo,10,39,111,118
2812798.jpg,128,128,cargo,3,25,123,99
2835441.jpg,128,128,cargo,6,13,123,119
2810825.jpg,128,128,cargo,2,9,123,117
2845824.jpg,128,128,cargo,3,38,128,108
2864154.jpg,128,128,cargo,9,32,104,105
2864140.jpg,128,128,cargo,12,15,123,92
2866031.jpg,128,128,cargo,4,37,126,81
2782209.jpg,128,128,cargo,5,19,122,112
2821193.jpg,128,128,cargo,3,43,120,97
2831394.jpg,128,128,cargo,9,18,116,111
2827290.jpg,128,128,cargo,20,29,118,119
2892403.jpg,128,128,cargo,9,20,118,110
2886462.jpg,128,128,cargo,1,54,127,83
2857993.jpg,128,128,cargo,6,24,123,93
2831343.jpg,128,128,cargo,4,14,104,118
2831357.jpg,128,128,cargo,10,58,114,122
2860118.jpg,128,128,cargo,14,50,113,80
2818935.jpg,128,128,cargo,6,47,124,92
2818921.jpg,128,128,cargo,2,44,124,71
2794279.jpg,128,128,cargo,11,43,116,95
2816887.jpg,128,128,cargo,7,48,119,92
2876183.jpg,128,128,cargo,9,50,119,107
2837646.jpg,128,128,cargo,20,13,106,122
2837652.jpg,128,128,cargo,1,21,126,96
2855969.jpg,128,128,cargo,7,30,123,74
2862135.jpg,128,128,cargo,5,35,117,93
2808677.jpg,128,128,cargo,9,18,126,118
2825097.jpg,128,128,cargo,10,53,126,103
2898516.jpg,128,128,cargo,6,23,110,87
2806666.jpg,128,128,cargo,6,36,123,77
2810762.jpg,128,128,cargo,13,35,112,77
2784254.jpg,128,128,cargo,4,50,125,106
2819034.jpg,128,128,cargo,2,35,128,97
2792422.jpg,128,128,cargo,7,52,123,121
2900571.jpg,128,128,cargo,21,10,110,111
2896507.jpg,128,128,cargo,8,48,119,87
2853868.jpg,128,128,cargo,8,47,117,80
2849824.jpg,128,128,cargo,5,40,123,85
2847809.jpg,128,128,cargo,8,15,121,110
2864008.jpg,128,128,cargo,9,40,119,84
2835521.jpg,128,128,cargo,1,37,125,110
2870055.jpg,128,128,cargo,6,17,121,91
2835509.jpg,128,128,cargo,9,19,106,114
2792387.jpg,128,128,cargo,8,47,119,106
2872130.jpg,128,128,cargo,27,39,116,99
2864022.jpg,128,128,cargo,2,36,125,77
2866153.jpg,128,128,cargo,10,35,121,105
2872126.jpg,128,128,cargo,21,24,100,109
2792385.jpg,128,128,cargo,5,29,120,77
2851933.jpg,128,128,cargo,9,62,121,96
2866147.jpg,128,128,cargo,9,53,124,80
2784281.jpg,128,128,cargo,2,47,128,99
2870043.jpg,128,128,cargo,5,20,123,95
2864036.jpg,128,128,cargo,8,15,121,106
2849832.jpg,128,128,cargo,1,20,123,75
2868142.jpg,128,128,cargo,12,35,120,96
2868156.jpg,128,128,cargo,35,22,88,106
2835523.jpg,128,128,cargo,9,11,108,118
2900567.jpg,128,128,cargo,5,33,124,99
2896511.jpg,128,128,cargo,8,45,118,77
2839480.jpg,128,128,cargo,3,32,127,111
2898528.jpg,128,128,cargo,26,35,119,122
2900573.jpg,128,128,cargo,5,53,123,99
2870080.jpg,128,128,cargo,2,74,120,100
2810774.jpg,128,128,cargo,29,24,101,105
2806658.jpg,128,128,cargo,7,26,121,92
2898514.jpg,128,128,cargo,7,40,119,96
2808661.jpg,128,128,cargo,6,13,121,123
2810748.jpg,128,128,cargo,3,26,124,100
2829334.jpg,128,128,cargo,4,40,124,84
2827319.jpg,128,128,cargo,1,27,128,76
2816852.jpg,128,128,cargo,10,38,113,79
2798482.jpg,128,128,cargo,7,25,122,93
2798496.jpg,128,128,cargo,9,51,117,81
2823143.jpg,128,128,cargo,1,27,128,76
2833350.jpg,128,128,cargo,9,11,121,103
2833436.jpg,128,128,cargo,22,44,116,109
2890410.jpg,128,128,cargo,6,38,124,86
2841711.jpg,128,128,cargo,20,32,114,106
2902628.jpg,128,128,cargo,8,15,119,89
2843660.jpg,128,128,cargo,7,65,122,113
2816885.jpg,128,128,cargo,6,40,117,90
2862043.jpg,128,128,cargo,1,28,125,60
2818937.jpg,128,128,cargo,9,21,121,93
2818923.jpg,128,128,cargo,1,41,121,77
2831427.jpg,128,128,cargo,16,56,120,99
2827251.jpg,128,128,cargo,13,13,110,87
2814843.jpg,128,128,cargo,7,51,121,83
2816932.jpg,128,128,cargo,17,60,112,91
2892401.jpg,128,128,cargo,10,23,120,119
2843728.jpg,128,128,cargo,1,29,128,100
2857985.jpg,128,128,cargo,2,36,123,93
2886460.jpg,128,128,cargo,2,47,125,85
2782223.jpg,128,128,cargo,3,20,116,103
2798521.jpg,128,128,cargo,3,31,125,104
2888471.jpg,128,128,cargo,11,43,120,75
2878219.jpg,128,128,cargo,7,11,121,105
2845826.jpg,128,128,cargo,11,10,121,119
2866033.jpg,128,128,cargo,9,36,128,88
2851847.jpg,128,128,cargo,29,16,100,112
2839537.jpg,128,128,cargo,3,15,122,121
2823209.jpg,128,128,cargo,9,34,119,93
2802589.jpg,128,128,cargo,2,37,125,94
2788281.jpg,128,128,cargo,9,49,123,83
2876208.jpg,128,128,cargo,3,33,126,102
2802576.jpg,128,128,cargo,15,4,108,114
2812765.jpg,128,128,cargo,5,30,125,97
2806710.jpg,128,128,cargo,2,27,125,89
2812771.jpg,128,128,cargo,9,33,123,117
2849775.jpg,128,128,cargo,6,19,122,89
2894500.jpg,128,128,cargo,9,14,117,122
2835480.jpg,128,128,cargo,2,31,123,112
2894528.jpg,128,128,cargo,9,7,120,123
2904649.jpg,128,128,cargo,11,43,120,89
2788242.jpg,128,128,cargo,8,28,124,99
2788256.jpg,128,128,cargo,2,40,119,95
2849749.jpg,128,128,cargo,19,18,111,112
2804649.jpg,128,128,cargo,6,29,116,63
2804648.jpg,128,128,cargo,1,40,120,69
2835495.jpg,128,128,cargo,5,12,123,108
2847765.jpg,128,128,cargo,7,36,124,80
2894529.jpg,128,128,cargo,9,30,124,94
2835481.jpg,128,128,cargo,5,13,122,122
2788243.jpg,128,128,cargo,7,39,121,81
2872084.jpg,128,128,cargo,23,21,116,124
2894501.jpg,128,128,cargo,7,24,120,110
2851891.jpg,128,128,cargo,5,64,123,101
2902588.jpg,128,128,cargo,6,26,123,95
2868037.jpg,128,128,cargo,7,9,117,110
2788280.jpg,128,128,cargo,11,57,118,95
2839536.jpg,128,128,cargo,3,12,120,109
2864157.jpg,128,128,cargo,24,23,95,109
2827293.jpg,128,128,cargo,6,47,121,107
2831383.jpg,128,128,cargo,1,20,126,106
2821190.jpg,128,128,cargo,3,48,125,93
2827287.jpg,128,128,cargo,7,32,122,97
2794454.jpg,128,128,cargo,11,5,122,113
2892400.jpg,128,128,cargo,6,22,117,113
2794332.jpg,128,128,cargo,16,26,95,93
2829269.jpg,128,128,cargo,3,33,128,88
2892399.jpg,128,128,cargo,10,15,113,115
2843675.jpg,128,128,cargo,3,50,122,90
2802629.jpg,128,128,cargo,2,46,128,106
2888504.jpg,128,128,cargo,18,28,115,118
2841710.jpg,128,128,cargo,5,47,104,95
2878191.jpg,128,128,cargo,12,29,117,79
2798440.jpg,128,128,cargo,5,55,121,90
2902629.jpg,128,128,cargo,4,24,115,95
2798468.jpg,128,128,cargo,15,6,115,104
2890411.jpg,128,128,cargo,6,15,126,100
2855995.jpg,128,128,cargo,8,11,107,108
2890363.jpg,128,128,cargo,37,25,113,126
2798497.jpg,128,128,cargo,4,46,120,94
2821033.jpg,128,128,cargo,6,8,127,111
2837651.jpg,128,128,cargo,3,19,125,81
2878152.jpg,128,128,cargo,4,43,124,106
2814922.jpg,128,128,cargo,3,24,124,91
2839640.jpg,128,128,cargo,7,42,124,102
2862136.jpg,128,128,cargo,34,1,90,118
2796492.jpg,128,128,cargo,5,31,121,96
2794285.jpg,128,128,cargo,15,36,119,78
2788323.jpg,128,128,cargo,1,46,120,84
2837484.jpg,128,128,cargo,3,42,122,83
2900572.jpg,128,128,cargo,35,40,106,81
2792347.jpg,128,128,cargo,8,54,126,98
2882217.jpg,128,128,cargo,8,27,96,110
2804700.jpg,128,128,cargo,5,38,119,83
2868143.jpg,128,128,cargo,16,21,108,99
2851932.jpg,128,128,cargo,11,19,128,98
2872133.jpg,128,128,cargo,19,51,102,91
2864037.jpg,128,128,cargo,11,12,120,109
2870042.jpg,128,128,cargo,3,47,123,96
2870056.jpg,128,128,cargo,2,65,125,96
2864023.jpg,128,128,cargo,4,38,124,78
2872127.jpg,128,128,cargo,33,13,106,92
2847845.jpg,128,128,cargo,9,61,114,91
2866135.jpg,128,128,cargo,14,39,113,70
2866121.jpg,128,128,cargo,7,37,121,91
2847689.jpg,128,128,cargo,11,34,119,81
2792308.jpg,128,128,cargo,19,22,107,117
2864087.jpg,128,128,cargo,2,48,115,84
2819044.jpg,128,128,cargo,3,49,113,92
2856035.jpg,128,128,cargo,8,47,119,114
2806602.jpg,128,128,cargo,9,47,120,110
2792334.jpg,128,128,cargo,8,42,121,86
2782127.jpg,128,128,cargo,5,35,121,86
2896563.jpg,128,128,cargo,7,55,118,103
2856021.jpg,128,128,cargo,8,39,120,89
2782133.jpg,128,128,cargo,7,42,120,83
2784224.jpg,128,128,cargo,5,49,123,93
2804767.jpg,128,128,cargo,5,34,117,92
2825226.jpg,128,128,cargo,11,24,100,96
2833444.jpg,128,128,cargo,15,61,124,117
2902699.jpg,128,128,cargo,6,33,125,98
2833450.jpg,128,128,cargo,7,12,120,123
2862145.jpg,128,128,cargo,9,34,122,95
2831290.jpg,128,128,cargo,7,40,122,83
2843606.jpg,128,128,cargo,25,58,113,112
2843612.jpg,128,128,cargo,1,40,123,112
2821097.jpg,128,128,cargo,1,25,110,126
2802666.jpg,128,128,cargo,14,23,114,115
2892513.jpg,128,128,cargo,26,36,112,97
2829385.jpg,128,128,cargo,4,60,126,116
2796422.jpg,128,128,cargo,11,49,121,83
2874082.jpg,128,128,cargo,5,56,122,89
2802672.jpg,128,128,cargo,5,73,119,104
2831327.jpg,128,128,cargo,3,29,123,90
2892498.jpg,128,128,cargo,1,53,84,84
2816940.jpg,128,128,cargo,5,20,113,103
2860168.jpg,128,128,cargo,13,55,116,110
2818951.jpg,128,128,cargo,2,36,118,90
2862025.jpg,128,128,cargo,1,43,113,87
2823079.jpg,128,128,cargo,1,5,123,119
2794396.jpg,128,128,cargo,3,35,124,88
2860140.jpg,128,128,cargo,1,34,127,78
2874135.jpg,128,128,cargo,12,54,114,88
2823086.jpg,128,128,cargo,3,20,118,93
2892467.jpg,128,128,cargo,6,42,121,86
2794355.jpg,128,128,cargo,1,62,128,107
2902712.jpg,128,128,cargo,34,20,90,95
2868050.jpg,128,128,cargo,19,20,109,95
2825144.jpg,128,128,cargo,21,45,99,116
2868044.jpg,128,128,cargo,15,8,121,123
2810841.jpg,128,128,cargo,10,1,120,95
2778114.jpg,128,128,cargo,21,34,124,88
2864118.jpg,128,128,cargo,9,35,120,92
2845698.jpg,128,128,cargo,3,50,127,106
2812918.jpg,128,128,cargo,1,57,128,123
2866055.jpg,128,128,cargo,12,38,128,84
2839551.jpg,128,128,cargo,26,53,123,94
2851821.jpg,128,128,cargo,8,41,123,109
2878280.jpg,128,128,cargo,15,12,115,105
2837597.jpg,128,128,cargo,1,26,118,109
2835394.jpg,128,128,cargo,5,41,126,100
2854018.jpg,128,128,cargo,7,29,113,114
2790319.jpg,128,128,cargo,4,32,126,89
